Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-CA,CA-29,153900,135850,10924750,265725,1007100,3496000,1014000,44002500,584700,639375,1428750,120550
US,US-CA,CA-3,100000,88500,7077000,173150,656200,2277000,660500,28695000,381000,417225,931500,78500
US,US-CA,CA-30,216800,190600,15487250,372800,1413600,4907000,1422000,61762500,820300,894750,1998000,168950
US,US-CA,CA-31,216300,189700,15623750,371000,1407100,4891000,1415500,61410000,816100,889200,1979250,167850
US,US-CA,CA-32,113400,99700,8104000,195000,739500,2567000,744000,32287500,429200,468000,1044000,88300
US,US-CA,CA-33,203600,180300,14391750,352625,1336200,4638000,1345500,58470000,776000,850050,1900500,159950
US,US-CA,CA-34,159100,140550,11287500,274900,1042000,3617000,1049000,45517500,605100,661875,1477500,124550
US,US-CA,CA-35,116000,102250,8262250,200000,758200,2632000,763000,33127500,440400,480600,1072500,90650
US,US-CA,CA-36,136500,120650,9683250,236025,894700,3106000,900500,39090000,519500,568200,1268250,106950
US,US-CA,CA-37,129200,114300,9139750,223525,847100,2940000,853000,37042500,491900,538650,1203750,101350
US,US-CA,CA-38,93600,82500,6649500,161325,611600,2122000,615500,26722500,355100,387825,866250,73200
US,US-CA,CA-39,696500,605850,50444000,1184925,4498300,15604000,4519000,195990000,2607200,2826450,6300000,535900
US,US-CA,CA-4,149900,132450,10628750,259100,982100,3408000,988500,42915000,570300,623850,1392750,117450
US,US-CA,CA-40,77800,68700,5518000,134375,509300,1767000,512500,22252500,295600,323400,722250,60950
US,US-CA,CA-41,112300,99300,7954500,194225,736100,2555000,741000,32152500,427400,467925,1044750,88000
US,US-CA,CA-42,109400,96600,7765500,188950,716200,2486000,721000,31305000,415900,454650,1014750,85700
US,US-CA,CA-43,229400,202950,16261500,397000,1504400,5224000,1514500,65730000,874500,956475,2136000,180150
US,US-CA,CA-44,84300,74500,5978000,145750,552400,1917000,556000,24150000,320700,350925,783750,66100
US,US-CA,CA-45,813700,710350,58858250,1389400,5274200,18309000,5299500,230025000,3058500,3317475,7404000,629400
US,US-CA,CA-46,223300,194750,16040750,380850,1445200,5011000,1452500,63082500,837800,910350,2034750,172800
US,US-CA,CA-47,143900,127000,10240000,248400,941600,3269000,947500,41167500,546800,597300,1334250,112650
US,US-CA,CA-48,627300,548400,45377000,1072650,4071500,14136000,4091500,177660000,2361800,2563050,5719500,485350
US,US-CA,CA-49,319100,280350,22960750,548325,2080000,7224000,2092000,90862500,1207200,1314375,2931750,248200
US,US-CA,CA-5,116600,103250,8241500,201950,765300,2656000,770500,33487500,444500,486825,1087500,91650
US,US-CA,CA-50,126600,111900,8997000,218825,829500,2880000,835000,36277500,481700,526575,1176000,99200
US,US-CA,CA-51,112500,99450,7984500,194500,737200,2559000,742000,32220000,428200,468150,1045500,88250
US,US-CA,CA-52,191100,169050,13561750,330675,1253200,4352000,1261500,54817500,728100,796275,1779000,150050
US,US-CA,CA-53,140900,124650,9996250,243775,923900,3207000,930000,40387500,536600,586950,1311000,110550
US,US-CA,CA-6,237300,209950,16808000,410650,1556300,5403000,1567000,68032500,904200,989325,2209500,186200
US,US-CA,CA-7,158100,139050,11296250,271975,1031000,3578000,1037500,45060000,598500,653475,1458750,123250
US,US-CA,CA-8,133700,118050,9503250,230925,875400,3039000,881000,38257500,508200,555600,1240500,104650
US,US-CA,CA-9,97300,85900,6912500,168050,637000,2211000,641000,27847500,369900,404400,903000,76200
US,US-CO,CO-1,583800,513550,41701250,1004425,3807900,13220000,3832000,166477500,2210400,2412525,5388000,454850
US,US-CO,CO-2,224900,198700,15956250,388625,1472600,5113000,1482500,64470000,855600,935325,2090250,176200
US,US-CO,CO-3,186200,164000,13295250,320800,1216200,4223000,1224000,53190000,706400,770700,1720500,145350
US,US-CO,CO-4,182500,160600,12972250,314125,1190500,4134000,1198500,52072500,691500,754800,1684500,142250
US,US-CO,CO-5,167300,147800,11879750,289050,1095400,3804000,1102500,47947500,636500,695550,1554000,131000
US,US-CO,CO-6,547800,476950,39588500,932850,3540000,12279000,3558000,154597500,2052500,2227950,4977750,422750
US,US-CO,CO-7,166900,146850,11898500,287250,1088900,3780000,1096000,47625000,632400,690000,1541250,130200
US,US-CT,CT-1,130100,115150,9193750,225200,853500,2962000,859000,37320000,495500,542475,1211250,102100
US,US-CT,CT-2,120800,107000,8539250,209250,793000,2752000,798500,34680000,460400,504225,1126500,94850
US,US-CT,CT-3,125200,110700,8842500,216525,820700,2848000,826000,35865000,476400,521625,1164000,98100
US,US-CT,CT-4,146000,128950,10335500,252200,955900,3317000,962000,41797500,554800,606750,1355250,114400
US,US-CT,CT-5,116400,102950,8224750,201325,763100,2648000,768000,33360000,442900,484725,1083000,91300
US,US-DC,DC-AT LARGE,853100,751200,60384500,1469250,5569300,19287000,5606000,243412500,3229800,3535200,7905000,665950
US,US-DE,DE-AT LARGE,224500,197550,15800500,386400,1465100,5080000,1474000,63990000,849300,927225,2077500,175850
US,US-FL,FL-1,298200,262150,21349250,512750,1945400,6756000,1956000,84960000,1129500,1228200,2740500,232200
US,US-FL,FL-10,985600,864150,70502250,1690150,6412400,22279000,6446500,279997500,3724300,4041450,9015000,765650
US,US-FL,FL-11,314200,276500,22429000,540800,2051600,7122000,2063000,89572500,1190800,1296900,2893500,244700
US,US-FL,FL-12,336100,295500,24002000,577975,2192700,7612000,2205000,95700000,1272700,1385325,3090750,261650
US,US-FL,FL-13,316500,278350,22591750,544450,2065100,7169000,2077000,90225000,1198700,1305150,2913750,246600
US,US-FL,FL-14,681400,597300,48778250,1168250,4432700,15393000,4456000,193365000,2572700,2794425,6231000,528800
US,US-FL,FL-15,324300,284650,23216500,556800,2112700,7335000,2124000,92205000,1226000,1332600,2974500,252200
US,US-FL,FL-16,394300,346350,28199500,677400,2570000,8922000,2584000,112200000,1491700,1622100,3619500,306900
US,US-FL,FL-17,320500,280850,22737750,549300,2083700,7233000,2095000,90952500,1208900,1314225,2935500,249150
US,US-FL,FL-18,441500,387200,31841250,757325,2874400,9984000,2889000,125355000,1668100,1810875,4035000,342450
US,US-FL,FL-19,405800,356600,29014750,697450,2646100,9188000,2660500,115492500,1535800,1670925,3727500,315650
US,US-FL,FL-2,242900,213350,17357000,417300,1583200,5496000,1592000,69165000,919100,999375,2232000,189100
US,US-FL,FL-20,258900,226800,18644500,443625,1683500,5847000,1692000,73440000,977000,1060800,2364000,200650
US,US-FL,FL-21,316900,278450,22703500,544625,2066200,7175000,2077500,90232500,1199400,1304475,2910750,246650
US,US-FL,FL-22,370800,325850,26543000,637325,2417700,8396000,2431000,105630000,1403700,1526775,3407250,288650
US,US-FL,FL-23,356300,312600,25564750,611425,2319800,8056000,2332000,101295000,1346700,1463475,3264750,276850
US,US-FL,FL-24,816000,715750,58857250,1399900,5312100,18463000,5339500,231982500,3085400,3347775,7461750,633100
US,US-FL,FL-25,319000,279350,22948750,546425,2073600,7202000,2084000,90502500,1203600,1306275,2913000,247300
US,US-FL,FL-26,588700,512550,42656250,1002475,3804000,13208000,3823500,166042500,2206400,2392800,5334750,453250
US,US-FL,FL-27,908500,795150,65485750,1555200,5902300,20507000,5932000,257445000,3425900,3715800,8278500,703450
US,US-FL,FL-3,339800,298650,24324500,584150,2216100,7696000,2228500,96810000,1286600,1399425,3123750,264550
US,US-FL,FL-4,512500,450450,36833750,881075,3343500,11613000,3361000,145972500,1941100,2109675,4704750,398700
US,US-FL,FL-5,191500,168050,13750750,328725,1247300,4331000,1254000,54457500,723900,786675,1755750,148850
US,US-FL,FL-6,610500,533500,43768250,1043475,3960200,13745000,3980000,172747500,2295000,2493225,5571750,473450
US,US-FL,FL-7,454500,399000,32548750,780375,2960600,10280000,2976500,129277500,1718300,1868400,4169250,353500
US,US-FL,FL-8,365300,321250,26125000,628300,2383600,8275000,2396500,104092500,1383500,1505475,3359250,284600
US,US-FL,FL-9,458700,402150,32857500,786600,2984500,10364000,3000500,130267500,1732200,1881900,4197750,356150
US,US-GA,GA-1,109100,96500,7710500,188700,715300,2482000,720000,31267500,415200,454725,1014750,85400
US,US-GA,GA-10,86100,76250,6097250,149100,565100,1961000,569000,24720000,328200,359175,801750,67600
US,US-GA,GA-11,134400,118500,9627250,231800,879200,3053000,884500,38392500,510400,556275,1240500,104950
US,US-GA,GA-12,73900,65400,5222250,127950,484900,1683000,488000,21210000,281500,308325,688500,58000
US,US-GA,GA-13,164300,145350,11654500,284275,1077400,3740000,1084500,47130000,625600,684450,1528500,128900
US,US-GA,GA-14,79700,70450,5638000,137850,522400,1813000,526000,22852500,303300,331950,741000,62500
US,US-GA,GA-2,81200,71750,5749500,140350,532000,1846000,535500,23257500,308800,337800,754500,63650
US,US-GA,GA-3,91600,81150,6480250,158725,601500,2088000,605500,26332500,349300,382500,855000,72050
US,US-GA,GA-4,121200,107000,8635750,209225,793400,2754000,798500,34657500,460600,502875,1122000,94750
US,US-GA,GA-5,378100,334800,26758750,654850,2482000,8614000,2498500,108517500,1440800,1578075,3525750,296650
US,US-GA,GA-6,566800,497550,40860250,973200,3693500,12836000,3712500,161115000,2144700,2328300,5185500,440050
US,US-GA,GA-7,212400,187000,15208750,365750,1387600,4820000,1395500,60540000,805700,877125,1954500,165450
US,US-GA,GA-8,65600,57950,4639750,113375,429700,1491000,432500,18787500,249400,272850,609000,51400
US,US-GA,GA-9,96900,85750,6855250,167675,635500,2206000,640000,27810000,369100,403875,902250,76050
US,US-HI,HI-1,113500,100300,8048000,196150,743400,2581000,748500,32490000,431600,472275,1053750,88900
US,US-HI,HI-2,90800,80300,6418500,157075,595200,2066000,599500,26032500,345600,378450,845250,71250
US,US-IA,IA-1,486500,432300,34665250,845550,3204200,11137000,3226000,140910000,1865500,2035725,4562250,384800
US,US-IA,IA-2,406000,363000,28717250,710025,2688400,9349000,2709500,118702500,1568200,1715100,3854250,324300
US,US-IA,IA-3,621400,551800,44204250,1079275,4089500,14208000,4118000,179865000,2380300,2599050,5832750,492150
US,US-IA,IA-4,284100,252550,20219250,494000,1872300,6507000,1885000,82215000,1089900,1189500,2664000,224750
US,US-ID,ID-1,113400,100350,8004750,196300,743800,2581000,749000,32527500,432000,473100,1056000,89100
US,US-ID,ID-2,118800,105150,8391750,205700,779400,2705000,785000,34087500,452600,495675,1106250,93350
US,US-IL,IL-1,91900,81350,6507000,159125,603000,2093000,607000,26370000,350000,383325,856500,72150
US,US-IL,IL-10,96400,85100,6832500,166500,631000,2190000,635000,27585000,366300,400725,894750,75500
US,US-IL,IL-11,119300,105050,8505000,205525,779300,2704000,784000,34042500,452200,493650,1101750,93150
US,US-IL,IL-12,256800,224550,18563750,439150,1666900,5785000,1675000,72675000,966500,1050075,2339250,198750
US,US-IL,IL-13,198000,173500,14269000,339350,1287800,4471000,1294500,56137500,747000,812100,1809750,153300
US,US-IL,IL-14,372000,326250,26925500,638075,2422200,8413000,2434000,105540000,1404900,1526400,3397500,288200
US,US-IL,IL-15,103700,91450,7390750,178900,678300,2354000,682500,29602500,393700,429975,958500,80950
US,US-IL,IL-16,108400,95700,7699250,187150,709500,2463000,714000,30997500,411900,450150,1004250,84750
US,US-IL,IL-17,71500,63250,5049750,123700,468800,1627000,472000,20505000,272100,298050,666000,56100
US,US-IL,IL-18,77300,68250,5480750,133475,506000,1756000,509500,22117500,293700,321225,717000,60500
US,US-IL,IL-2,123000,108400,8673000,212025,803400,2789000,809000,35130000,466600,509775,1138500,96250
US,US-IL,IL-3,123100,108950,8717500,213075,807500,2803000,813000,35325000,468900,513225,1146750,96650
US,US-IL,IL-4,104500,92450,7396250,180825,685300,2378000,690000,29955000,397800,435675,972750,82000
US,US-IL,IL-5,160500,142050,11341500,277825,1052800,3654000,1060000,46042500,611200,669675,1496250,125950
US,US-IL,IL-6,424000,369750,30575250,723200,2744700,9528000,2758000,119662500,1591200,1726800,3849000,327350
US,US-IL,IL-7,303200,267450,21435750,523125,1983100,6880000,1996000,86407500,1150400,1260150,2807250,236250
US,US-IL,IL-8,208900,183700,14900000,359275,1362500,4728000,1370500,59512500,790400,862200,1925250,162900
US,US-IL,IL-9,174200,154300,12302250,301800,1143600,3969000,1151500,50032500,663900,727725,1626750,136900
US,US-IN,IN-1,387400,338300,27864500,661675,2510500,8713000,2523500,109545000,1455900,1582200,3528000,299700
US,US-IN,IN-2,422300,368350,30398750,720425,2733900,9486000,2748000,119242500,1584800,1722150,3839250,326100
US,US-IN,IN-3,447400,389850,32283750,762525,2894100,10046000,2908500,126195000,1677600,1820700,4059000,345200
US,US-IN,IN-4,462400,402950,33366000,788100,2991000,10380000,3006000,130470000,1734000,1882425,4197000,356900
US,US-IN,IN-5,570400,496850,41085250,971775,3687700,12795000,3706500,160830000,2137500,2320950,5175000,440200
US,US-IN,IN-6,449800,391700,32437500,766125,2907700,10090000,2922000,126832500,1685400,1829325,4080750,347100
US,US-IN,IN-7,496700,432950,35885000,846800,3213700,11155000,3230000,140167500,1863200,2023200,4508250,383300
US,US-IN,IN-8,387000,337300,27864750,659675,2503400,8689000,2516000,109192500,1451300,1575525,3514500,298950
US,US-IN,IN-9,526000,459000,37929000,897750,3406500,11824000,3424000,148665000,1975400,2145975,4785000,406600
US,US-KS,KS-1,91700,80900,6528500,158175,599600,2082000,603500,26212500,348200,380325,849000,71650
US,US-KS,KS-2,488800,425950,35199250,833125,3162500,10969000,3177500,137910000,1832600,1988550,4444500,377650
US,US-KS,KS-3,580000,504950,41741000,987625,3748100,12996000,3766500,163627500,2172300,2357475,5272500,448250
US,US-KS,KS-4,98400,87000,6977000,170200,645000,2239000,649500,28230000,374700,409875,915750,77200
US,US-KY,KY-1,128600,114600,9083250,224150,848900,2949000,855500,37402500,494500,540975,1212750,102200
US,US-KY,KY-2,175400,156200,12381500,305525,1157200,4021000,1166000,50955000,673900,737100,1652250,139150
US,US-KY,KY-3,225600,201700,15921750,394500,1494100,5190000,1505500,65992500,870700,952950,2138250,179550
US,US-KY,KY-4,163100,145300,11507000,284200,1076500,3738000,1084500,47400000,626300,685875,1536750,129300
US,US-KY,KY-5,125000,111450,8839000,218000,825800,2869000,832000,36412500,481000,526125,1179000,99100
US,US-KY,KY-6,565400,496200,40467000,970525,3682300,12783000,3702000,160890000,2136500,2322000,5185500,440150
US,US-LA,LA-1,142900,126750,10058500,247950,939200,3258000,946000,41107500,545400,598275,1335750,112800
US,US-LA,LA-2,186300,165250,13116250,323225,1224300,4247000,1233500,53550000,710500,780075,1741500,146850
US,US-LA,LA-3,121100,107600,8530500,210400,796900,2765000,803000,34927500,462900,507825,1134750,95700
US,US-LA,LA-4,104000,92300,7328250,180500,683700,2372000,689000,29917500,396900,435450,972000,82050
US,US-LA,LA-5,85700,76100,6041250,148875,563900,1956000,568000,24690000,327500,359175,801750,67700
US,US-LA,LA-6,109100,96900,7679500,189500,717700,2490000,723000,31440000,416600,457350,1021500,86250
US,US-MA,MA-1,132900,117550,9379250,229900,871200,3024000,877000,38100000,505800,553725,1236750,104250
US,US-MA,MA-2,149000,131750,10539000,257725,976800,3391000,983500,42735000,567400,620550,1387500,116850
US,US-MA,MA-3,209800,183700,14920000,359300,1362700,4720000,1370500,59602500,790400,861675,1929000,163450
US,US-MA,MA-4,144900,128200,10230250,250750,950200,3298000,956500,41580000,551800,604125,1350750,113750
US,US-MA,MA-5,192600,170350,13580000,333225,1262500,4383000,1271500,55282500,733300,802650,1794750,151300
US,US-MA,MA-6,171300,151600,12096250,296525,1123600,3900000,1131500,49207500,652600,714225,1598250,134700
US,US-MA,MA-7,247600,218000,17470500,426400,1616400,5609000,1626500,70575000,938000,1025400,2289750,193050
US,US-MA,MA-8,199400,176600,14075250,345425,1308900,4544000,1318000,57330000,760600,832500,1863000,156850
US,US-MA,MA-9,161800,143250,11418500,280150,1061400,3684000,1069000,46492500,616400,674625,1509750,127400
US,US-MD,MD-1,103100,91200,7270250,178400,676000,2346000,680500,29550000,392500,430050,960000,80950
US,US-MD,MD-2,135600,119950,9573000,234625,889100,3085000,895500,38880000,516100,565575,1263000,106350
US,US-MD,MD-3,116800,103400,8247250,202275,766400,2659000,772000,33532500,444900,487575,1089750,91750
US,US-MD,MD-4,93800,83100,6615000,162500,615800,2136000,620000,26925000,357300,391875,875250,73700
US,US-MD,MD-5,124200,109950,8760750,215100,815100,2828000,821000,35647500,473100,518700,1158750,97500
US,US-MD,MD-6,220600,193050,15756500,377550,1431500,4967000,1440000,62512500,830600,905100,2016750,170950
US,US-MD,MD-7,85800,75900,6052500,148475,562600,1951000,566500,24600000,326300,357900,799500,67350
US,US-MD,MD-8,214900,189850,15186250,371300,1407100,4879000,1416500,61537500,816600,894600,1999500,168400
US,US-ME,ME-1,317400,279000,22787000,545675,2069100,7188000,2081500,90547500,1201900,1308600,2922750,247300
US,US-ME,ME-2,419200,366150,30143000,716200,2717300,9429000,2732000,118725000,1575700,1712775,3829500,324700
US,US-MI,MI-1,157600,139150,11215750,272225,1032000,3584000,1038500,45187500,599700,654150,1461000,123400
US,US-MI,MI-10,147100,129850,10462250,253975,962800,3344000,969000,42172500,559800,610125,1362750,115150
US,US-MI,MI-11,612200,537100,44137000,1050525,3986500,13852000,4007000,173977500,2314300,2514075,5599500,474800
US,US-MI,MI-12,351800,310200,25035750,606675,2300400,7987000,2314500,100650000,1336800,1456950,3253500,274850
US,US-MI,MI-13,195200,171550,13955250,335525,1273000,4418000,1280000,55530000,739000,804075,1792500,151650
US,US-MI,MI-14,312300,274300,22338000,536500,2035400,7061000,2046500,88822500,1181400,1285575,2868000,242850
US,US-MI,MI-2,189800,167250,13550500,327125,1240600,4308000,1248000,54255000,720700,785400,1752750,148100
US,US-MI,MI-3,226800,200050,16143750,391250,1483500,5150000,1492500,64875000,861300,940050,2098500,177100
US,US-MI,MI-4,138900,122700,9854250,239950,909600,3157000,915500,39825000,528200,577200,1290000,108750
US,US-MI,MI-5,165900,146200,11761500,286000,1084100,3764000,1091000,47452500,629800,687075,1535250,129700
US,US-MI,MI-6,233100,204650,16742750,400300,1518200,5272000,1527000,66367500,881400,959250,2141250,181200
US,US-MI,MI-7,198000,174650,14082500,341600,1295400,4497000,1303000,56617500,752000,820950,1831500,154500
US,US-MI,MI-8,535400,469250,38748750,917825,3484800,12099000,3501000,151822500,2021500,2194350,4884000,414200
US,US-MI,MI-9,232200,204850,16492250,400650,1518800,5276000,1528500,66540000,883000,962475,2150250,181700
US,US-MN,MN-1,564800,491900,41010250,962100,3652300,12671000,3669500,159172500,2116400,2296575,5114250,435050
US,US-MN,MN-2,480600,419300,34822000,820075,3112700,10805000,3128000,135742500,1804700,1958475,4365000,371000
US,US-MN,MN-3,314300,274300,22588500,536500,2035700,7063000,2046500,88845000,1180300,1282500,2863500,243150
US,US-MN,MN-4,281300,246750,20165250,482575,1830400,6352000,1841000,79942500,1061800,1156725,2581500,218700
US,US-MN,MN-5,583300,511650,41713000,1000700,3795300,13171000,3817500,165772500,2201900,2399325,5354250,453550
US,US-MN,MN-6,142300,124950,10157750,244425,927000,3217000,932500,40470000,537800,586425,1308000,110750
US,US-MN,MN-7,180300,157850,12905000,308775,1171400,4063000,1178000,51127500,679100,739500,1650000,139900
US,US-MN,MN-8,443100,384900,31921500,752800,2857300,9904000,2871000,124710000,1655100,1796400,4018500,341800
US,US-MO,MO-1,1154600,1006750,83283000,1969100,7475600,25943000,7510000,325822500,4333000,4698150,10488750,891800
US,US-MO,MO-2,686000,597350,49453000,1168350,4435300,15390000,4456000,193335000,2570500,2786775,6219750,529200
US,US-MO,MO-3,526900,458900,37935250,897525,3407100,11822000,3423000,148575000,1974900,2140500,4782750,407000
US,US-MO,MO-4,503000,438450,36225500,857550,3255400,11295000,3270500,141960000,1887000,2046150,4571250,388700
US,US-MO,MO-5,756500,659950,54476000,1290800,4900100,17004000,4923000,213660000,2840600,3080175,6880500,584950
US,US-MO,MO-6,459500,400400,33063000,783150,2972900,10315000,2987000,129645000,1723200,1868175,4175250,355150
US,US-MO,MO-7,520600,453800,37456000,887600,3369400,11690000,3385500,146932500,1953100,2117850,4731750,402450
US,US-MO,MO-8,411600,358800,29628250,701750,2664000,9243000,2676500,116182500,1544300,1674300,3741750,318200
US,US-MS,MS-1,167500,147600,11885750,288725,1095600,3815000,1101500,47692500,635000,691050,1535250,130850
US,US-MS,MS-2,135800,119700,9622250,234125,888500,3094000,893000,38655000,514700,560475,1244250,106100
US,US-MS,MS-3,188700,166400,13373000,325400,1234800,4300000,1241500,53745000,715600,779175,1730250,147450
US,US-MS,MS-4,208500,183900,14765000,359675,1364500,4751000,1372000,59445000,791100,861600,1915500,163100
US,US-MT,MT-AT LARGE,1597000,1388800,115288000,2716350,10312000,35763000,10360000,449797500,5976000,6477225,14469000,1232050
US,US-NC,NC-1,141900,125850,10034750,246200,932900,3238000,939500,40830000,542000,593625,1326750,111650
US,US-NC,NC-10,113000,100000,7993250,195550,741100,2572000,746000,32377500,430300,471150,1051500,88650
US,US-NC,NC-11,164000,145300,11576250,284175,1076900,3737000,1084500,47077500,625300,685125,1530000,128800
US,US-NC,NC-12,402300,354950,28661250,694250,2631200,9149000,2648500,115155000,1530800,1667775,3726000,315250
US,US-NC,NC-13,221600,194800,15975000,381025,1446000,5023000,1453500,63037500,839200,912600,2031750,172200
US,US-NC,NC-2,284200,250250,20426750,489425,1856500,6448000,1867000,81082500,1077600,1174425,2619000,221400
US,US-NC,NC-3,149300,132750,10525500,259650,983900,3415000,990500,43072500,571300,627075,1401000,117450
US,US-NC,NC-4,190100,168700,13447750,329950,1250200,4340000,1259000,54727500,726600,795600,1779000,149750
US,US-NC,NC-5,137000,121050,9718750,236800,897700,3115000,903500,39247500,521300,569850,1272750,107350
US,US-NC,NC-6,138200,122150,9819500,238950,906000,3145000,911500,39585000,526000,575100,1283250,108150
US,US-NC,NC-7,139500,123650,9862500,241900,916700,3182000,923000,40117500,532500,583125,1302750,109750
US,US-NC,NC-8,170400,150800,12097500,294925,1117900,3882000,1125000,48870000,649500,710100,1585500,133500
US,US-NC,NC-9,701500,628650,50217250,1229575,4654600,16231000,4690000,205882500,2723700,2965800,6684000,564350
US,US-ND,ND-AT LARGE,908700,788800,65485500,1542750,5856300,20307000,5883500,255382500,3392900,3676425,8212500,699600
US,US-NE,NE-1,102100,90350,7262250,176725,669800,2327000,674500,29325000,389400,425400,951000,80200
US,US-NE,NE-2,276900,243300,19809750,475825,1804900,6263000,1815000,78832500,1047500,1141275,2549250,215750
US,US-NE,NE-3,80600,71350,5741750,139500,528800,1837000,532500,23152500,307500,335625,750000,63350
US,US-NH,NH-1,442000,393950,31173750,770575,2918100,10137000,2940000,128475000,1699500,1859175,4170750,351700
US,US-NH,NH-2,391500,348800,27692750,682275,2584000,8976000,2603000,113797500,1505000,1646550,3692250,311000
US,US-NJ,NJ-1,198500,175100,14125750,342450,1298600,4508000,1306500,56722500,753900,822675,1836750,155000
US,US-NJ,NJ-10,213100,187300,15245000,366350,1389900,4824000,1397500,60592500,806400,878100,1956000,165650
US,US-NJ,NJ-11,397800,348750,28581000,682175,2588600,8991000,2602000,112845000,1501900,1632300,3634500,308400
US,US-NJ,NJ-12,207400,182400,14823250,356775,1353400,4697000,1361000,59055000,785300,855825,1908750,161500
US,US-NJ,NJ-2,185500,163500,13242250,319825,1213300,4212000,1220000,52950000,704300,767400,1712250,144850
US,US-NJ,NJ-3,487700,426800,35093750,834775,3168400,10998000,3184000,138120000,1837000,1995750,4451250,378050
US,US-NJ,NJ-4,238000,209150,17066500,409050,1552100,5387000,1560500,67695000,900400,980100,2184750,185100
US,US-NJ,NJ-5,222500,195500,15928000,382325,1450400,5034000,1458500,63285000,841700,916650,2043000,173000
US,US-NJ,NJ-6,181000,159450,12910500,311900,1183100,4106000,1190000,51607500,686600,748575,1669500,141150
US,US-NJ,NJ-7,665100,579400,48054250,1133200,4300900,14919000,4322000,187665000,2492500,2706300,6042750,513300
US,US-NJ,NJ-8,336000,296050,23914500,579025,2196000,7620000,2209000,95782500,1274200,1390575,3100500,261850
US,US-NJ,NJ-9,237300,209500,16879500,409800,1553900,5393000,1563500,67875000,902000,984900,2198250,185600
US,US-NM,NM-1,200400,176250,14287000,344750,1307000,4537000,1315000,57112500,758600,827700,1847250,156100
US,US-NM,NM-2,417200,365350,30190250,714625,2712200,9420000,2726000,118252500,1573100,1709400,3805500,322850
US,US-NM,NM-3,141500,124300,10110000,243125,922000,3199000,927500,40282500,534900,583275,1302750,110200
US,US-NV,NV-1,1352000,1181900,97673750,2311725,8774000,30480000,8817000,382725000,5091400,5520450,12304500,1046050
US,US-NV,NV-2,867200,757800,62527000,1482125,5624600,19532000,5653000,245587500,3263400,3539700,7906500,672000
US,US-NV,NV-3,1199700,1049550,86645250,2052775,7789200,27056000,7829500,340200000,4520700,4906500,10948500,930200
US,US-NV,NV-4,601700,526950,43405000,1030675,3910200,13585000,3931000,170895000,2270300,2464425,5502000,467350
US,US-NY,NY-1,203400,178900,14535500,349925,1326900,4607000,1335000,57990000,770300,839775,1874250,158600
US,US-NY,NY-10,234000,206800,16578250,404500,1533100,5319000,1543500,66990000,889800,974175,2176500,183150
US,US-NY,NY-11,209400,184200,15003750,360300,1366500,4744000,1374500,59662500,793000,864375,1928250,163050
US,US-NY,NY-12,295400,260700,20877750,509875,1933000,6703000,1945500,84315000,1121300,1228350,2742000,230350
US,US-NY,NY-13,158700,140250,11208000,274300,1039700,3606000,1046500,45427500,603300,660825,1476750,124250
US,US-NY,NY-14,130400,115350,9215500,225575,854900,2966000,860500,37395000,496400,543450,1215750,102350
US,US-NY,NY-15,138600,122500,9789250,239600,908100,3150000,914000,39690000,527000,577050,1290000,108650
US,US-NY,NY-16,113900,100800,8046000,197200,747300,2593000,752500,32700000,433800,475125,1062750,89500
US,US-NY,NY-17,123900,109650,8748750,214475,812800,2819000,818500,35557500,471700,516825,1155750,97350
US,US-NY,NY-18,131300,115950,9312500,226800,859800,2983000,865500,37582500,499100,545625,1219500,102850
US,US-NY,NY-19,501800,438800,36317000,858200,3258300,11311000,3273500,141967500,1888900,2050050,4570500,388100
US,US-NY,NY-2,96000,84850,6800750,165925,629000,2182000,633000,27502500,365100,399375,892500,75250
US,US-NY,NY-20,186600,164350,13297250,321475,1219000,4229000,1226500,53242500,707300,772350,1724250,145650
US,US-NY,NY-21,113300,99750,8058750,195100,739700,2568000,744500,32332500,429400,468750,1046250,88400
US,US-NY,NY-22,444900,388800,32096250,760475,2886300,10024000,2900500,125820000,1674200,1816725,4047750,343900
US,US-NY,NY-23,155800,137000,11097750,267950,1016300,3524000,1022500,44377500,589600,643425,1437000,121300
US,US-NY,NY-24,253600,222450,18234000,435050,1650700,5730000,1659500,71992500,957400,1042500,2324250,196700
US,US-NY,NY-25,133400,117550,9479500,229950,871800,3024000,877500,38100000,505900,552825,1235250,104250
US,US-NY,NY-26,128200,113400,9070250,221775,840700,2916000,846000,36750000,488000,534150,1194000,100550
US,US-NY,NY-27,87300,77150,6194750,150925,572100,1985000,576000,25005000,332200,363075,810750,68450
US,US-NY,NY-3,147000,129800,10451250,253900,962500,3340000,968500,42082500,558500,610575,1364250,115200
US,US-NY,NY-4,129300,114300,9165000,223575,847500,2941000,853000,37050000,491900,538125,1203000,101400
US,US-NY,NY-5,98200,86800,6937500,169750,643400,2232000,647500,28125000,373500,408825,914250,77000
US,US-NY,NY-6,85300,75400,6026250,147475,558900,1939000,562500,24450000,324600,355200,794250,66950
US,US-NY,NY-7,209400,185350,14787000,362500,1373700,4765000,1383000,60075000,797300,873975,1954500,164350
