Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-TN,TN-2,568400,494550,40773000,967275,3670200,12739000,3689000,160140000,2128300,2308575,5153250,438450
US,US-TN,TN-3,494600,430300,35463500,841650,3193500,11086000,3210000,139357500,1852100,2008800,4483500,381500
US,US-TN,TN-4,522300,454500,37536750,888950,3373400,11709000,3390000,147180000,1956100,2121450,4734750,402800
US,US-TN,TN-5,1196800,1043250,86135500,2040475,7742700,26877000,7782000,337762500,4490100,4874400,10875000,923800
US,US-TN,TN-6,507800,441550,36418000,863625,3276700,11375000,3293500,142995000,1900300,2060850,4599000,391400
US,US-TN,TN-7,480100,417900,34504500,817325,3101500,10765000,3117000,135337500,1798300,1950825,4355250,370350
US,US-TN,TN-8,389900,339100,28009750,663225,2516600,8737000,2529000,109807500,1459500,1582425,3531000,300500
US,US-TN,TN-9,639100,556750,46037750,1088925,4132200,14346000,4153000,180225000,2396200,2599425,5799750,492950
US,US-TX,TX-1,107400,94800,7627250,185450,703000,2439000,707500,30720000,407900,445950,996000,84000
US,US-TX,TX-10,233300,205300,16670250,401600,1523100,5286000,1532000,66495000,883800,964125,2150250,181750
US,US-TX,TX-11,103900,91600,7387250,179150,679300,2357000,683500,29677500,394200,430725,961500,81100
US,US-TX,TX-12,132300,116700,9394750,228200,865200,3002000,870500,37800000,502300,548775,1224750,103400
US,US-TX,TX-13,89400,78900,6357750,154275,585000,2029000,588500,25560000,339500,370950,828000,69850
US,US-TX,TX-14,108500,95650,7709500,187050,709200,2461000,713500,30990000,411600,449700,1004250,84750
US,US-TX,TX-15,103200,91000,7334250,178025,674800,2341000,679000,29482500,391400,427950,955500,80700
US,US-TX,TX-16,136400,120300,9710250,235300,892200,3097000,897500,38955000,517800,565650,1262250,106550
US,US-TX,TX-17,116200,102400,8288750,200300,759500,2636000,764000,33180000,440900,481200,1074000,90650
US,US-TX,TX-18,343300,302000,24542250,590675,2240500,7777000,2253500,97777500,1300600,1416975,3161250,267750
US,US-TX,TX-19,100400,88550,7143500,173150,656600,2278000,660500,28687500,381100,416250,929250,78400
US,US-TX,TX-2,164500,145000,11730250,283600,1075400,3732000,1082000,46972500,624100,681300,1520250,128450
US,US-TX,TX-20,121700,107150,8661750,209575,794600,2758000,799500,34717500,461200,503400,1124250,95000
US,US-TX,TX-21,201700,177950,14343000,348025,1319300,4579000,1327500,57690000,766100,836625,1869750,157850
US,US-TX,TX-22,236500,208250,16937750,407350,1545200,5364000,1554000,67425000,896700,977400,2179500,184300
US,US-TX,TX-23,262100,230100,18834500,450000,1707300,5927000,1716500,74475000,990500,1078350,2403750,203650
US,US-TX,TX-24,249400,219950,17730750,430150,1630800,5659000,1641000,71257500,946500,1034025,2309250,194900
US,US-TX,TX-25,241500,213050,17156750,416700,1579700,5482000,1590000,69082500,917200,1002075,2239500,189000
US,US-TX,TX-26,163300,144100,11583500,281850,1068400,3706000,1075500,46672500,619900,678000,1513500,127650
US,US-TX,TX-27,228000,201200,16205000,393500,1491700,5177000,1501000,65197500,866000,946350,2114250,178300
US,US-TX,TX-28,149800,132050,10668750,258250,979100,3398000,985000,42780000,568300,620475,1385250,117100
US,US-TX,TX-29,104400,91950,7436500,179875,682100,2367000,686000,29782500,395800,432150,964500,81450
US,US-TX,TX-3,200000,176000,14273750,344275,1305400,4530000,1313500,57052500,757600,826650,1846500,156000
